trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.85, 'e': 0.2895815582935107}",30,2,-19.850486501608877,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 0}",1
84,False,"{'a': 0.85, 'e': 0.28523783491910804}",20,0,27.098949495976857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.85, 'e': 0.2809592673953214}",30,13,-66.6070511984877,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
86,False,"{'a': 0.85, 'e': 0.27674487838439155}",20,4,-13.888140644439048,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.85, 'e': 0.2725937052086257}",20,12,14.414114613290238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.85, 'e': 0.2685047996304963}",25,0,-54.87389608669011,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.85, 'e': 0.26447722763603887}",25,0,31.604950485457223,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.85, 'e': 0.2605100692214983}",20,0,-43.37816530710955,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
91,False,"{'a': 0.85, 'e': 0.2566024181831758}",30,0,33.75526456422566,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.85, 'e': 0.2527533819104281}",25,2,-42.50062711257031,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.85, 'e': 0.2489620811817717}",20,13,4.5814990640331,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.85, 'e': 0.24522764996404514}",25,13,22.8639220458423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.85, 'e': 0.24154923521458446}",20,2,-7.504616389589133,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.85, 'e': 0.2379259966863657}",30,0,-8.872943244666917,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.85, 'e': 0.23435710673607021}",20,4,14.768223318596984,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.85, 'e': 0.23084175013502914}",20,7,-12.646039930972313,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.85, 'e': 0.22737912388300371}",20,9,-4.354219861008128,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.85, 'e': 0.22396843702475866}",20,0,14.421849506976956,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.85, 'e': 0.22060891046938727}",20,13,9.8054538900048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.85, 'e': 0.21729977681234644}",30,14,0.4782262882269164,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.85, 'e': 0.21404028016016124}",25,2,-12.008824891418111,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
104,False,"{'a': 0.85, 'e': 0.21082967595775884}",30,0,1.4200519875991455,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.85, 'e': 0.20766723081839245}",30,0,36.067037524514106,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.85, 'e': 0.20455222235611656}",25,15,11.135317081067804,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.85, 'e': 0.2014839390207748}",20,7,11.4959446711093,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.85, 'e': 0.19846167993546318}",30,0,27.139603792132778,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.85, 'e': 0.19548475473643123}",25,12,10.639582703787013,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.85, 'e': 0.19255248341538475}",25,0,-60.55956781697256,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
111,False,"{'a': 0.85, 'e': 0.18966419616415398}",30,18,17.453548005213694,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.85, 'e': 0.18681923322169167}",35,13,35.716393524578336,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.85, 'e': 0.1840169447233663}",30,0,35.94101156961357,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.85, 'e': 0.1812566905525158}",30,17,9.25493702745362,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.85, 'e': 0.17853784019422805}",20,10,3.8375696341519396,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.85, 'e': 0.17585977259131463}",20,1,-4.824762926843514,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.85, 'e': 0.1732218760024449}",30,0,6.053605678518776,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.85, 'e': 0.17062354786240824}",25,0,13.906029488141325,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.85, 'e': 0.16806419464447211}",20,0,1.856122785647292,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.85, 'e': 0.16554323172480503}",25,17,2.120813816909939,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.85, 'e': 0.16306008324893295}",30,17,-37.24394998117922,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.85, 'e': 0.16061418200019895}",25,5,9.464820921935946,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.85, 'e': 0.15820496927019598}",30,21,3.7714209762920086,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.85, 'e': 0.15583189473114303}",25,1,-22.35168034255421,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.85, 'e': 0.15349441631017588}",25,8,-11.63279986972507,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
126,False,"{'a': 0.85, 'e': 0.15119200006552325}",20,0,31.271862853766102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.85, 'e': 0.1489241200645404}",20,0,-0.43156871194699686,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.85, 'e': 0.1466902582635723}",30,23,15.60638106055822,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.85, 'e': 0.1444899043896187}",30,16,29.11663731045634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.85, 'e': 0.1423225558237744}",30,0,14.502098462531173,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.85, 'e': 0.14018771748641778}",35,17,19.980603928712576,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.85, 'e': 0.13808490172412152}",25,11,1.066516429013324,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.85, 'e': 0.1360136281982597}",25,11,23.30122492950326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.85, 'e': 0.13397342377528582}",35,13,12.41742324919309,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
