trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.00019047679864187043}",25,12,26.10647250267146,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.0001809529587097769}",20,6,21.51133440682789,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.00017190531077428803}",25,14,24.425290151330216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.00016331004523557362}",25,19,9.345793627053778,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.00015514454297379496}",20,12,14.520745569503443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.00014738731582510518}",20,13,15.065208040978199,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.0001400179500338499}",20,16,9.334564453235698,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.00013301705253215742}",20,5,24.71187509011134,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.00012636619990554954}",30,12,30.864555455146654,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.00012004788991027206}",30,15,29.464427216803134,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.00011404549541475845}",20,8,25.01808862801292,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.00010834322064402053}",30,17,27.66961046328014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.00010292605961181949}",20,8,23.16522491037336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 9.777975663122851e-05}",20,9,21.950028766420623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,8.833434156244618,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,15,29.248758693128515,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,18.345194948942236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,17.866265623578574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,22.240332863127527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,1,28.746225716271447,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,17.741081429782845,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,8.84165645911924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,26.80780185573802,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,20.505679956325753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
